atom_idx x y z attribution binding
3 0.393 -0.0722 0.0935 0.026000000000000023 0.0
6 3.1436 0.0355 0.201 0.015000000000000013 3.958439407920578
9 -2.0169 -0.5365 -0.016 0.01100000000000001 1.3499492942109361
11 -1.0648 -2.1283 1.471 0.007000000000000006 0.0
13 -1.1336 -2.6373 -0.765 0.0050000000000000044 0.0
14 -3.3207 -0.1289 -0.1955 0.0040000000000000036 0.0
15 -3.5859 1.1821 -0.4535 0.0020000000000000018 0.0
12 -2.976 -2.6185 0.4493 0.0 0.0
7 2.3427 1.0997 0.8251 -0.010000000000000009 0.0
0 -2.5111 2.0421 -0.5212 -0.01100000000000001 0.0
5 2.4974 -0.2504 -1.0577 -0.015000000000000013 0.0
10 -1.7328 -1.9802 0.2695 -0.018000000000000016 0.0
1 -1.2495 1.6344 -0.3451 -0.019000000000000017 0.41948910342275914
2 -0.95 0.3242 -0.0846 -0.019000000000000017 0.0
4 1.1404 -0.9232 -0.7965 -0.06700000000000006 0.0
8 1.0671 0.4273 1.2844 -0.07100000000000006 0.0
