atom_idx x y z attribution binding
10 -2.3033 0.7924 -0.3791 -0.04199999999999998 0.0
8 -0.175 -0.2503 -0.0171 -0.05299999999999999 1.0
13 -4.3739 1.429 -0.1046 -0.055999999999999994 0.0
14 -3.6864 0.3331 -0.4069 -0.08800000000000002 0.0
9 -1.2717 -0.0827 -0.9192 -0.09900000000000003 0.0
12 -3.6611 2.4153 0.0938 -0.11499999999999994 0.0
4 2.6241 -0.7778 0.1187 -0.11599999999999994 0.0
11 -2.3332 2.1108 -0.0357 -0.11699999999999994 1.0
3 2.1177 0.5014 -0.0444 -0.11799999999999994 0.0
7 0.3303 -1.5907 -0.3213 -0.12399999999999994 0.0
16 0.6963 0.747 0.1737 -0.13899999999999996 0.0
15 -3.9825 -1.0804 -0.6389 -0.14499999999999996 0.0
6 1.6428 -1.8848 0.2733 -0.15099999999999997 0.0
0 4.8418 -0.0437 -0.2232 -0.15399999999999997 0.0
5 3.9621 -1.0157 0.0481 -0.15699999999999997 0.0
2 2.9935 1.5434 -0.3035 -0.16499999999999998 0.0
1 4.3548 1.2099 -0.4 -0.16799999999999998 0.0
